B2094757D06FA2F5419F, 1860, 首经贸5号教学楼(博学楼) 116.3165021, 39.8409044202, 51 253, 校园生活, 北京丰台区花乡张家路口121号(首经贸东门内)
B2094654D66DA0FF4699, 697, 樊家村公交站 116.31322, 39.84589, 19 38, 公交车站, 
B2094654D16CA3FA479A, 3337, 育芳园东里 116.32207, 39.849567, 44 47, 住宅区, 北京市丰台区新村
B2094757D06FA5F5449C, 635, 首经贸3号教学楼(慎思楼) 116.317893688, 39.8438095204, 51 253, 校园生活, 北京丰台区张家路口121号首都经济贸易大学内
B2094654D36CA7FD459F, 1840, 亿朋苑一区 116.33669, 39.845112, 44 47, 住宅区, 丰台南三环中路玉泉营桥西南角
B2094757D065A1FC489D, 2184, 育芳园小区 116.327655, 39.855131, 44 47, 住宅区, 丰台区新村丰益桥以南
B2094654D265ABFB409B, 1417, 北京信息职业技术学院(南校区) 116.31175, 39.83835, 51 671, 高校中心点, 丰台辛庄50号
B2094757D56EABF5439B, 306, 首经贸亚洲第一大食堂 116.318817, 39.840869, 64 69 80, 北京菜, 丰台区花乡张家路口121号首都经济贸易大学西校区内
B2094757D068A5FE4593, 452, 乐购(瑞逸广场店) 116.32416, 39.84907, 115 118, 超级市场, 北京丰台区南三环夏家胡同瑞逸时尚购物广场
B2094654D068A6FA409A, 1374, 万柳园小区 116.33585, 39.849765, 44 47, 住宅区, 丰台区玉泉营万柳园小区
B2094757D16BA3F84998, 423, 首都铁路卫生学校 116.31742880006523, 39.842213903617754, 51, 校园生活, 丰台区花乡张家路口107号
B2094654D36CA7FE469C, 795, 北京南粤苑宾馆 116.33879, 39.84827, 19 214, 四星级宾馆, 丰台区南三环西路86号南粤苑宾馆B1楼
B2094757D66AA3FB459E, 393, 青年餐厅（万年花城店） 116.31301, 39.84808, 64 69 80, 北京菜, 丰台区丰台东路万年花城二区3号楼(近樊羊路)
